min_support,min_confidence,class_weights,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,f_score_mean,f_score_std,auc_mean,auc_std,n_rules_mean,n_rules_std
0.005,0.4,inverse,0.16022176399877672,0.008999538735736534,0.48720985624089336,0.01571979038119611,0.5530586796060324,0.024244840131133587,0.2922621534408347,0.01731113762831224,0.7910603693488882,0.005557101108963418,503.0,33.645207682521445
0.005,0.4,prior,0.7153255648218723,0.008113340275052562,0.29813179892078284,0.01280819584912349,0.6673515789095638,0.015129060192411139,0.3295625100490077,0.011156644411923705,0.8898327491678676,0.000995118760388857,503.0,33.645207682521445
0.005,0.4,uniform,0.7543149412682145,0.03434870608871096,0.6512428606769262,0.013294647382750635,0.6680865403239667,0.02460583628888675,0.6075324721096488,0.013507506713665485,0.9217593399900141,0.004832930719959788,503.0,33.645207682521445
0.005,0.5,inverse,0.17842926434767434,0.007284519078618302,0.5097088515556393,0.014968700817360328,0.5373296413208478,0.013863450091528047,0.31176931208265946,0.010320107514276318,0.8372767876452524,0.005978840731113674,401.6666666666667,34.26854728950927
0.005,0.5,prior,0.7512050042514584,0.007932774311493758,0.34046010861543946,0.012228469141171046,0.693204292828621,0.006940409937554263,0.39128661852243374,0.008877362503835176,0.905890081026849,0.0029274960740760733,401.6666666666667,34.26854728950927
0.005,0.5,uniform,0.7154371501217632,0.03197202274207504,0.6732625207801423,0.008094899105128573,0.6755003876543988,0.012573472964774502,0.6143226762307288,0.004845692553188525,0.9224121095419392,0.0034531439092616877,401.6666666666667,34.26854728950927
0.005,0.6,inverse,0.22191171252708944,0.01769641493820047,0.5317813696252403,0.016073254352517226,0.561258240503761,0.005599118963528257,0.3581925837165803,0.02309097194808581,0.8411292711658204,0.005639957902145221,316.0,33.04542328371661
0.005,0.6,prior,0.761271973323578,0.003930370310417454,0.36816861239915727,0.013836939592462447,0.7604000966561687,0.03307081951776797,0.4278311922497644,0.009353367214117968,0.8954995272127434,0.005752853294186123,316.0,33.04542328371661
0.005,0.6,uniform,0.6666008784787568,0.0680971422494494,0.6357610304777377,0.024637933614049375,0.6864972081454459,0.006060074530631791,0.5896095697737355,0.016102418786122223,0.911553063286673,0.003095752423682493,316.0,33.04542328371661
0.005,0.7,inverse,0.3052371664174148,0.0023042231118916424,0.5531849975147004,0.013759012178008304,0.5265981293576217,0.010647044729477294,0.39803758557105856,0.004854106392667274,0.8514717152940952,0.009611155541255044,256.0,22.538855339169288
0.005,0.7,prior,0.8075398562184013,0.0017950159710573858,0.5489819855355043,0.008252500805934024,0.7725496377645661,0.042704143947990034,0.5954394434723501,0.005701041612234765,0.8925212913541896,0.0031036352151848808,256.0,22.538855339169288
0.005,0.7,uniform,0.7060097578471684,0.011408316556337953,0.6261927526729069,0.0021724907408898733,0.6546659694654676,0.010972294800981363,0.588011683148724,0.0032044048298223967,0.9002506868067925,0.004911902814017548,256.0,22.538855339169288
0.005,0.8,inverse,0.4092320509040921,0.013178110881699515,0.5569988474126232,0.009397233182274735,0.5551117710196909,0.01660106329488452,0.45737156087285036,0.0006670355047242279,0.861519359018453,0.003275944467694511,223.66666666666666,22.368132093076824
0.005,0.8,prior,0.8014357996746927,0.005776255691439581,0.5640355244288134,0.0031566743343524966,0.7754957207244003,0.02874782178208377,0.6002518459518735,0.003257007246843075,0.886979105939414,0.004666198031241615,223.66666666666666,22.368132093076824
0.005,0.8,uniform,0.7174704937224581,0.019820131715973743,0.6124104171458304,0.007861925244368385,0.6698756100349158,0.03378856143280273,0.5888551781143274,0.0015620407908633926,0.8889084605601223,0.0020982318695828726,223.66666666666666,22.368132093076824
0.005,0.9,inverse,0.7078289457566757,0.03632431977359833,0.5767517762790296,0.009812217550484476,0.682790769866263,0.0510556226644225,0.5583538531574394,0.01900260543748289,0.827007067729059,0.006818877361530529,170.33333333333334,21.36195996001615
0.005,0.9,prior,0.7964008700006139,0.0068878341952592894,0.5703473920370153,0.002126858937357748,0.7970069199246299,0.025676689632384182,0.6145309944571208,0.005271566462603515,0.8591516255845728,0.006640845763741178,170.33333333333334,21.36195996001615
0.005,0.9,uniform,0.7529198669592176,0.01821905019644783,0.5813075708312813,0.007702254773307371,0.7371368438491371,0.018291519231677444,0.593179293820173,0.0075627094709574535,0.8511994054046554,0.004085195057905831,170.33333333333334,21.36195996001615
0.01,0.1,inverse,0.09853212514289662,0.004847105913527781,0.403699222799158,0.010656148779195719,0.4930705812690314,0.04957868307543024,0.2638433970932587,0.00963950920148725,0.7581564622158669,0.00854600020921883,360.6666666666667,7.767453465154027
0.01,0.1,prior,0.6903711623671747,0.0038898350296023097,0.2704835074528726,0.010573236003308088,0.5567936476494665,0.015518405779988836,0.2844571566456644,0.009340066710286773,0.8630517122731535,0.002379927941628419,360.6666666666667,7.767453465154027
0.01,0.1,uniform,0.7516350016281889,0.013880128418065255,0.6349333060705317,0.009335125872190245,0.7165662173764605,0.01658177420588801,0.6184592323365253,0.00839695598286416,0.9270930513184462,0.003685625061273162,360.6666666666667,7.767453465154027
0.01,0.2,inverse,0.09853212514289662,0.004847105913527781,0.403699222799158,0.010656148779195719,0.4930705812690314,0.04957868307543024,0.2638433970932587,0.00963950920148725,0.7581564622158669,0.00854600020921883,360.6666666666667,7.767453465154027
0.01,0.2,prior,0.6903711623671747,0.0038898350296023097,0.2704835074528726,0.010573236003308088,0.5567936476494665,0.015518405779988836,0.2844571566456644,0.009340066710286773,0.8630517122731535,0.002379927941628419,360.6666666666667,7.767453465154027
0.01,0.2,uniform,0.7516350016281889,0.013880128418065255,0.6349333060705317,0.009335125872190245,0.7165662173764605,0.01658177420588801,0.6184592323365253,0.00839695598286416,0.9270930513184462,0.003685625061273162,360.6666666666667,7.767453465154027
